name,state,total_pts,pre_rating,oppnt1,oppnt2,oppnt3,oppnt4,oppnt5,oppnt6,oppnt7,avg_oppnt_rtg
GARY HUA,ON,6.0,1794,39,21,18,14,7,12,4,1605.2857142857142
DAKSHESH DARURI,MI,6.0,1553,63,58,4,17,16,20,7,1469.2857142857142
ADITYA BAJAJ,MI,6.0,1384,8,61,25,21,11,13,12,1563.5714285714287
PATRICK H SCHILLING,MI,5.5,1716,23,28,2,26,5,19,1,1573.5714285714287
HANSHI ZUO,MI,5.5,1655,45,37,12,13,4,14,17,1500.857142857143
HANSEN SONG,OH,5.0,1686,34,29,11,35,10,27,21,1518.7142857142858
GARY DEE SWATHELL,MI,5.0,1649,57,46,13,11,1,9,2,1372.142857142857
EZEKIEL HOUGHTON,MI,5.0,1641,3,32,14,9,47,28,19,1468.4285714285713
STEFANO LEE,ON,5.0,1411,25,18,59,8,26,7,20,1523.142857142857
ANVIT RAO,MI,5.0,1365,16,19,55,31,6,25,18,1554.142857142857
CAMERON WILLIAM MC LEMAN,MI,4.5,1712,38,56,6,7,3,34,26,1467.5714285714287
KENNETH J TACK,MI,4.5,1663,42,33,5,38,NA,1,3,1506.1666666666667
TORRANCE HENRY JR,MI,4.5,1666,36,27,7,5,33,3,32,1497.857142857143
BRADLEY SHAW,MI,4.5,1610,54,44,8,1,27,5,31,1515
ZACHARY JAMES HOUGHTON,MI,4.5,1220,19,16,30,22,54,33,38,1483.857142857143
MIKE NIKITIN,MI,4.0,1604,10,15,NA,39,2,36,NA,1385.8
RONALD GRZEGORCZYK,MI,4.0,1629,48,41,26,2,23,22,5,1498.5714285714287
DAVID SUNDEEN,MI,4.0,1600,47,9,1,32,19,38,10,1480
DIPANKAR ROY,MI,4.0,1564,15,10,52,28,18,4,8,1426.2857142857142
JASON ZHENG,MI,4.0,1595,40,49,23,41,28,2,9,1410.857142857143
DINH DANG BUI,ON,4.0,1563,43,1,47,3,40,39,6,1470.4285714285713
EUGENE L MCCLURE,MI,4.0,1555,64,52,28,15,NA,17,40,1300.3333333333333
ALAN BUI,ON,4.0,1363,4,43,20,58,17,37,46,1213.857142857143
MICHAEL R ALDRICH,MI,4.0,1229,28,47,43,25,60,44,39,1357
LOREN SCHWIEBERT,MI,3.5,1745,9,53,3,24,34,10,47,1363.2857142857142
MAX ZHU,ON,3.5,1579,49,40,17,4,9,32,11,1506.857142857143
GAURAV GIDWANI,MI,3.5,1552,51,13,46,37,14,6,NA,1221.6666666666667
SOFIA ADINA STANESCU-BELLU,MI,3.5,1507,24,4,22,19,20,8,36,1522.142857142857
CHIEDOZIE OKORIE,MI,3.5,1602,50,6,38,34,52,48,NA,1313.5
GEORGE AVERY JONES,ON,3.5,1522,52,64,15,55,31,61,50,1144.142857142857
RISHI SHETTY,MI,3.5,1494,58,55,64,10,30,50,14,1259.857142857143
JOSHUA PHILIP MATHEWS,ON,3.5,1441,61,8,44,18,51,26,13,1378.7142857142858
JADE GE,MI,3.5,1449,60,12,50,36,13,15,51,1276.857142857143
MICHAEL JEFFERY THOMAS,MI,3.5,1399,6,60,37,29,25,11,52,1375.2857142857142
JOSHUA DAVID LEE,MI,3.5,1438,46,38,56,6,57,52,48,1149.7142857142858
SIDDHARTH JHA,MI,3.5,1355,13,57,51,33,NA,16,28,1388.1666666666667
AMIYATOSH PWNANANDAM,MI,3.5,980,NA,5,34,27,NA,23,61,1384.8
BRIAN LIU,MI,3.0,1423,11,35,29,12,NA,18,15,1539.1666666666667
JOEL R HENDON,MI,3.0,1436,1,54,40,16,44,21,24,1429.5714285714287
FOREST ZHANG,MI,3.0,1348,20,26,39,59,21,56,22,1390.5714285714287
KYLE WILLIAM MURPHY,MI,3.0,1403,59,17,58,20,NA,NA,NA,1248.5
JARED GE,MI,3.0,1332,12,50,57,60,61,64,56,1149.857142857143
ROBERT GLEN VASEY,MI,3.0,1283,21,23,24,63,59,46,55,1106.5714285714287
JUSTIN D SCHILLING,MI,3.0,1199,NA,14,32,53,39,24,59,1327
DEREK YAN,MI,3.0,1242,5,51,60,56,63,55,58,1152
JACOB ALEXANDER LAVALLEY,MI,3.0,377,35,7,27,50,64,43,23,1357.7142857142858
ERIC WRIGHT,MI,2.5,1362,18,24,21,61,8,51,25,1392
DANIEL KHAIN,MI,2.5,1382,17,63,NA,52,NA,29,35,1355.8
MICHAEL J MARTIN,MI,2.5,1291,26,20,63,64,58,NA,NA,1285.8
SHIVAM JHA,MI,2.5,1056,29,42,33,46,NA,31,30,1296
TEJAS AYYAGARI,MI,2.5,1011,27,45,36,57,32,47,33,1356.142857142857
ETHAN GUO,MI,2.5,935,30,22,19,48,29,35,34,1494.5714285714287
JOSE C YBARRA,MI,2.0,1393,NA,25,NA,44,NA,57,NA,1345.3333333333333
LARRY HODGE,MI,2.0,1270,14,39,61,NA,15,59,64,1206.1666666666667
ALEX KONG,MI,2.0,1186,62,31,10,30,NA,45,43,1406
MARISA RICCI,MI,2.0,1153,NA,11,35,45,NA,40,42,1414.4
MICHAEL LU,MI,2.0,1092,7,36,42,51,35,53,NA,1363
VIRAJ MOHILE,MI,2.0,917,31,2,41,23,49,NA,45,1391
SEAN M MC CORMICK,MI,2.0,853,41,NA,9,40,43,54,44,1319
JULIA SHEN,MI,1.5,967,33,34,45,42,24,NA,NA,1330.2
JEZZEL FARKAS,ON,1.5,955,32,3,54,47,42,30,37,1327.2857142857142
ASHWIN BALAJI,MI,1.0,1530,55,NA,NA,NA,NA,NA,NA,1186
THOMAS JOSEPH HOSMER,MI,1.0,1175,2,48,49,43,45,NA,NA,1350.2
BEN LI,MI,1.0,1163,22,30,31,49,46,42,54,1263
