name,party_chr,party_num,state,district,partisanship
"BRANNON, MARY",Democrat,0,OK,4,0.8491462483952921
"BRATTIN, RICHARD RAY JR.",Republican,1,MO,4,0.666789236396085
"BRECHEEN, JOSH",Republican,1,OK,2,0.8876610748043845
"BROOKS, NATISHA LOUISE",Republican,1,TN,5,0.033261819771864154
"BROWN, ANTHONY",Democrat,0,MD,4,0.8720791638154001
"BROWN, JESSE",Republican,1,MA,9,0.89622178758285
"BROWNLEY, JULIA",Democrat,0,CA,26,0.8847034738430483
"BRUCE, KALENA",Republican,1,MO,4,0.8973359251050375
"BRYANT, ALEX L",Republican,1,MO,7,0.7691170317504696
"BUCHANAN, VERNON",Republican,1,FL,16,0.8977733277522577
"BUCK, KENNETH R",Republican,1,CO,4,0.9021079769527856
"BUCSHON, LARRY D.",Republican,1,IN,8,0.8414174755617667
"BUDD, JOE",Republican,1,FL,23,0.7160007118931493
"BUDD, THEODORE P.",Republican,1,NC,13,0.900234158823926
"BURAU, JUSTIN",Republican,1,IL,3,0.7341895097802571
"BURKE, ROBERT G.",Republican,1,MA,8,0.043126298683474174
"BURKS, TAYLOR",Republican,1,MO,4,0.9119269779040409
"BURLISON, ERIC",Republican,1,MO,7,0.5050406347921976
"BURNS, MARK",Republican,1,SC,4,0.917035070866167
"BURNS, ROBERT ANDREW MR.",Republican,1,NH,2,0.8935617355490026
"BURRIL, MATTHEW",Republican,1,NC,11,0.8956393816485417
"BUSH, CORI",Democrat,0,MO,1,0.8547553862824883
"BUTTAR, SHAHID",Democrat,0,CA,11,0.29665409680574517
"CALVERT, KEN",Republican,1,CA,41,0.8628397233240348
"CAMMACK, KAT",Republican,1,FL,3,0.9429699349396401
"CAMPBELL, HEIDI",Democrat,0,TN,5,0.870923614273067
"CANNING, DOYLE",Democrat,0,OR,4,0.819948209624292
"CARACAMO, RAFAEL DR.",Republican,1,CA,35,0.8754119956457456
"CARAVEO, YADIRA",Democrat,0,CO,8,0.6212703837958993
"CARDENAS, TONY",Democrat,0,CA,29,0.8939687924555791
"CAREY, MIKE",Republican,1,OH,15,0.9411573866781238
"CARL, JERRY LEE, JR",Republican,1,AL,1,0.9359843445470448
"CARLSON, ERIC JOSEPH MR.",Republican,1,IL,1,0.8730996532286577
"CARPIO, MONICA",Republican,1,VA,8,0.867449519601059
"CARROLL, MARK JOSEPH",Republican,1,IL,11,0.6280211550481867
"CARSON, ANDRE",Democrat,0,IN,7,0.8777766252256354
"CARTER, EARL LEROY",Republican,1,GA,1,0.923598735958882
"CARTWRIGHT, MATTHEW A.",Democrat,0,PA,8,0.8938151624580895
"CASTELLI, MATT",Democrat,0,NY,21,0.8407741325532091
"CASTEN, SEAN",Democrat,0,IL,6,0.8949412908065167
"CASTILLO, JOSE",Republican,1,FL,9,0.9279575277815313
"CASTOR, KATHY",Democrat,0,FL,14,0.8890597570927767
"CASTRO, JOAQUIN",Democrat,0,TX,20,0.8535373658019476
"CATALA, RYAN JOSHUA",Republican,1,TX,12,0.34068025980886785
"CAVALERI, VINCENT",Republican,1,WA,1,0.8664952257600236
"CAVALIER, CRYSTAL ANN",Democrat,0,NC,4,0.847538184853911
"CAWTHORN, DAVID MADISON",Republican,1,NC,11,0.931371749152998
"CHABOT, STEVE",Republican,1,OH,1,0.9009434444344442
"CHEHADE, IYMEN",Democrat,0,IL,3,0.2183364693382711
"CHEN, JAY",Democrat,0,CA,45,0.8498906657070154
"CHENEY, ELIZABETH MRS.",Republican,1,WY,0,0.9268501658710873
"CHERFILUS-MCCORMICK, SHEILA",Democrat,0,FL,20,0.8809959101614016
"CHESS, STEVEN",Republican,1,FL,23,0.8933144795034103
"CHILDRESS, EARL",Democrat,0,MO,1,0.46916078086953494
"CHRISTENSEN, FLINT LANDEN",Republican,1,ID,2,0.7295859521694188
"CHRISTIAN, ROBERT FRANKLIN MR. III",Democrat,0,GA,6,0.9001357966639694
"CHU, JUDY",Democrat,0,CA,28,0.8588472697274503
"CIARROCCHI, GUY",Republican,1,PA,6,0.6468988346863678
"CICILLINE, DAVID",Democrat,0,RI,1,0.8719741518139176
"CISNEROS, JESSICA",Democrat,0,TX,28,0.8769846270621575
"CLARK, DREW-MONTEZ DR.",Republican,1,FL,20,0.9163106253377229
"CLARK, KATHERINE",Democrat,0,MA,5,0.8424159597249069
"CLARKE, YVETTE D",Democrat,0,NY,9,0.8784439593666934
"CLEAVER, EMANUEL II",Democrat,0,MO,5,0.855714543191346
"CLICK, NATHAN",Democrat,0,NC,13,0.7016136310040295
"CLINE, BENJAMIN LEE",Republican,1,VA,6,0.9421327769789065
"CLOUD, MICHAEL",Republican,1,TX,27,0.9065484145274525
"CLYBURN, JAMES E.",Democrat,0,SC,6,0.858022280355152
"COHEN, STEVE I MR.",Democrat,0,TN,9,0.8497505743596708
"COHN, ALAN",Democrat,0,FL,15,0.8366024998639823
"COLEMAN, BONNIE WATSON",Democrat,0,NJ,12,0.8924264549477197
"COLLINS, CHRISTIAN",Republican,1,TX,8,0.9377784018490698
"COLLINS, KINA ISIS",Democrat,0,IL,7,0.9042245568256377
"COLLINS, MICHAEL A JR",Republican,1,GA,10,0.9215034958844186
"COMER, JAMES",Republican,1,KY,1,0.908606730285817
"CONNOLLY, GERALD EDWARD",Democrat,0,VA,11,0.8913794603774472
"CONOLE, FRANCIS",Democrat,0,NY,22,0.8686061412610248
"CONYERS, JOHN",Democrat,0,MI,13,0.18364713969544066
"COOPER, JAMES",Democrat,0,TN,5,0.8641646725285854
"COOPER, KELLY",Republican,1,AZ,4,0.9022928672564687
"COOPER, RANDAL DEAN",Democrat,0,TN,6,0.5304391421843881
"CORBETT, KEITH",Democrat,0,NY,4,0.8456795082774475
"CORREA, LOU",Democrat,0,CA,46,0.767781938608207
"COURSER, AMY RYAN",Republican,1,OR,6,0.7691106090079236
"COURTNEY, JOSEPH",Democrat,0,CT,2,0.7793082822742137
"CRAIG, ANGELA DAWN",Democrat,0,MN,2,0.8511286498055715
"CRANE, ELI",Republican,1,AZ,2,0.9504247857638444
"CRAWFORD, ERIC ALAN RICK",Republican,1,AR,1,0.9385532960172784
"CRENSHAW, DANIEL",Republican,1,TX,2,0.9260387629015374
"CROOM, GEORGE",Democrat,0,MD,2,0.043603772373009386
"CROW, JASON",Democrat,0,CO,6,0.8910545384453724
"CRUZ, ROBERT 'ROB'",Republican,1,IL,6,0.8868628719666241
"CUELLAR, HENRY R.",Democrat,0,TX,28,0.30786651927877373
"CULP, LOREN",Republican,1,WA,4,0.9752432552630812
