people,biden,time,day,support,american,act,families,americans,country,proud,community,house,health,president,bill,america,join,fight,care,border,communities,democrats,women,continue,rights,family,protect,law,week,party,name
0.5460539841704954,0.21762936178736056,0.26713432319132147,0.13816632162786938,0.3812827809781882,0.21385612826387712,0.05636811662535913,0.28109166130983204,0.13870193306594897,0.3743447261027881,0.07237359819456386,0.008545784559705819,0.045038366935151564,0.013346900475755622,0.08724838581103617,0.004252077007148333,0.18651682208441708,0.06232027557931155,0.04889406107867059,0.04200516873584146,0.11910666433138997,0.0775141513630441,0.04210774839433802,0.03707464080457765,0.05440734044684014,0.0669628805499571,0.060231410866288373,0.14177669895545658,0.13198160720401292,0.03780465186225731,1,"AADLAND, ERIK"
0.20327718643454484,0.1607807870861397,0.20635714380476525,0.3249730720042318,0.1401239589097854,0.15501218424666757,0.45553200574044594,0.20722284626303547,0.11514100691101166,0.1577911714180187,0.2469942760394903,0.11725028693881245,0.1380328105059729,0.2511398261595557,0.2182412468979567,0.10334435059876836,0.05404220025927381,0.2768732236765123,0.044722577554855474,0.12185079953941437,0,0.06434702992603458,0.056122223135210855,0.22607701387063367,0.12140590045279934,0.15421830598058295,0.11962977869483099,0.055577472203231455,0.0905410217587375,0.13502385894908078,0,"ADAMS, ALMA SHEALEY"
0.27166283382713513,0.5354209002896467,0.16978927114195946,0.1433187136156083,0.1647922019205767,0.299960273778992,0.06746556114259152,0.1015431544494126,0.19747452757620787,0.13917724055140113,0.1398409288456301,0.02216116842916151,0.11325552243856098,0.03076582844990506,0.3878656516131299,0.13967033589061423,0.11916769863958693,0.05746157801675999,0.09861712918559445,0.021785796558446743,0.22381938091961384,0.04729691138770331,0.24750865588278068,0.07121703655138392,0.11576668114370742,0.05064792300037199,0.11107113639599178,0.11534409909972133,0.07843421872213777,0.04357159311689349,1,"ADERHOLT, ROBERT B. REP."
0.21367045962535514,0.38937459217954584,0.32612859627027885,0.18081074567604036,0.30697981999361523,0.09818267477986688,0.04965011591376008,0.28824016958428955,0.07590791397336243,0.17284233822451045,0.14015196374196978,0.1895936317862639,0.15237138156134522,0.057311501208401665,0.023786919621672148,0.06694743064720485,0.13348366403740053,0.08920094858127056,0.046655726809781625,0.054110973925434964,0.40025991015608864,0.0587373964497374,0.05424311683530147,0.2830191274422465,0.0658941617534616,0.005990378341223782,0.2298962441449684,0.041779582030520034,0.0885512713993451,0.08417262610623216,1,"ADKINS, AMANDA"
0.28113705525473304,0.047747985229793836,0.2159458540362442,0.16377302222594195,0.13593713744840474,0.35990883055284584,0.23385234895549742,0.23932279704745327,0.10577714143807891,0.13776881763599869,0.3929791157435423,0.2570384885345668,0.1358902034625655,0.21687287967672722,0.10772743902253122,0.12789316643943288,0.05046492619923118,0.14650931707064246,0.06761500246208751,0.23090153714425085,0,0.2506433380183631,0.030570903919331538,0.08972262232801427,0.13890322975940025,0.0824737926696439,0.0583052999264359,0.13839619258628538,0.1668308114784771,0.10455918663135888,0,"AGUILAR, PETE"
0.468462369766084,0,0.6055733072585964,0.10333483135917049,0.20022952765884,0.05476747083127029,0.029426393060140405,0.10982108835610048,0.13051678167156358,0.28097655701797275,0.06603893272112268,0.08699415192607232,0.023817162496049135,0.09057894993864449,0.012083929431759075,0.016489592838014662,0.051103700295155,0.10875536488583168,0.3239198306222321,0.11402749523754709,0.02510308230615134,0.10167372404563213,0.024494133990785608,0.02396263169173451,0.036517872997191836,0.27185527675687254,0.0467155905019864,0.08085460476357038,0.03598775568089335,0.016289642176792442,0,"AHMED, JUNAID"
0.316022581218087,0,0.44243161370532186,0.31756416357028777,0.12780071601228854,0,0.034880886027805126,0.10124923496017892,0.032817155342517626,0,0,0.24061202070672563,0,0,0,0,0.03261801376131782,0.6350223971532387,0,0.06758184833064951,0,0.11004002137367207,0,0,0,0.033667547450901406,0.19381186632078853,0.03354465111425909,0,0.23653646915727328,1,"AKANA, JOSEPH"
0.26318788539846,0.007009697365613374,0.2697675825334215,0.343813256875881,0.47230161626675626,0.08109838389854566,0.1089347784788611,0.10540216756295588,0.03416321424761395,0.1415771575238944,0.128347931003061,0.35783026669875073,0.05486116934065011,0.14903020074904158,0.15308967826515604,0.021365226406464297,0.10865889436951129,0.3340138434876132,0.061418965550313315,0.06331846333739372,0,0.1832856400508417,0.09168335453620709,0.08279437120013451,0.23832971043085474,0.08411636838736049,0.04035228674600321,0.09777753905137651,0.11052704026221659,0.07035384815265969,0,"AL-ABDRABBUH, SAMI"
0.3081917763402794,0.1641664531363573,0.32531354169251714,0.094629076491462,0.09520645839902622,0.017586264117671013,0.09449045437580371,0.045713126901666894,0.04444995917196529,0.35087023447739873,0,0.009311501330038819,0.2587531901625963,0.07756162860638739,0.11770074822397313,0.04633070308626192,0.09719649989839398,0.009053903709536395,0.03551670117465204,0.2196907343888896,0.327268336723573,0,0.11928975231503151,0.05386212188408989,0.036481434030301615,0.428656849856044,0.05250259783388364,0.09087066547384952,0.3864823411230681,0,1,"ALCIERE, TOM"
0.7855015031124035,0.010331309365149649,0.2569850596602308,0.18515224138725905,0.3823682190491294,0.02490158898715139,0.05351818765672109,0.20713065420715246,0.020140711753486855,0.07452315888400328,0.052546339750950424,0.13184788845571335,0.05053603627851871,0.04392991675337407,0.035896108730518676,0.03148934285586414,0.010009246783904377,0.06666420192810611,0.125726289693042,0.07258418340592672,0,0.04502288165448763,0.02598622829597304,0.015253409276228745,0.06198785619089789,0.07748482023862235,0.11399107233232732,0.036027589787907266,0.06108799994873554,0.02592292264497383,0,"ALCUBILLA, SERGIO JOSEPHUS MR. III"
