will,today,can,people,us,need,thank,biden,time,day,get,support,congress,help,work,american,must,now,act,one,make,new,great,just,families,americans,t,vote,country,like,party
0.3851445688234143,0.09406119802006405,0.13208096452631296,0.25931881476729063,0.16305587652816833,0.058385913046666266,0.1406983015337225,0.42491176709553563,0.1239318791473022,0.06783037591706093,0.07204794544267903,0.1820158621709786,0.24582165531148842,0.051017886386801325,0.060770890436675794,0.43291712012533917,0.10450918470854481,0.07350400114102287,0.031659684577151195,0.08970771686178469,0.05067774807064945,0.047728758023010666,0.09373783833342865,0.07136517526654389,0.14049223176639536,0.3024208934897632,0.07733246236322601,0.10445305425303252,0.18371318246078047,0.09706475610086912,1
0,0,0,0,0,0,0,0,0,0,0,0.7057595034003957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7084514968295478,0
0.05264719951521997,0,0.10731139252393852,0.21523513690711388,0.054685470873531795,0,0,0.23568360170039765,0.16005285989536275,0.22358883998777093,0.16405641262059537,0,0.21164561923060982,0,0.05654156927054142,0.7203716677911858,0,0.11158127796117179,0,0.16515326058298507,0.11243665265377896,0,0.11265167259137641,0.05563121747979346,0,0.25654693294983366,0,0,0.17092775105610306,0.2195762352955686,1
0.11498758759278042,0,0.0878926960586647,0.11752462327552655,0.16422918676175968,0.044492549272832874,0,0.7721404664707325,0.17478700117156784,0.015260748410884964,0.01492992606925088,0.04478977820775264,0.11556464258308952,0.015451433153728374,0,0.3277865086376752,0.04747795711973563,0.030463305957910962,0,0.015029744532461815,0.07674208911344726,0,0.046133308806729584,0.15188128598847564,0,0.35020515331138347,0.1602499472736053,0.015231652978955481,0.031110502121641195,0.044960620807884155,1
0.23693827922919414,0.3940887920462352,0.18496111432402343,0.11335428919745859,0.2199294276387359,0.08149276154384232,0.13934072398436192,0.3686093008951158,0.11409269257959379,0.18733558178033916,0.0994918839318091,0.07854622415669141,0.20941694527062982,0.07045121966566269,0.11911120994221375,0.3755539134293952,0.10176269509142785,0.07301061977150036,0.298187660111799,0.08258565134612213,0.1112526704819403,0.04577029327347911,0.052137054196533514,0.05326975042887108,0.1216165986422498,0.29478825114321117,0.11240982905757635,0.08369510071367116,0.09092894893485202,0.04380323593551046,0
0.18888119811913798,0.13242518033977058,0.06416645322826381,0.19304859000429636,0.1307959062515863,0.19489189955096434,0,0.28185228892270237,0.06380201335556966,0,0.06539795312579315,0,0.12655272108502713,0,0,0.5743247924396365,0,0.06671961555105405,0,0.06583519060090712,0,0.06859540795426035,0,0.13305792909740638,0,0.613605187177413,0,0,0.06813708085471669,0.06564740192421019,1
0.18712670106726473,0.08260432042167806,0.023544599249489314,0.09444710246876167,0.0671901259572077,0.04767446166483755,0.026980769952512414,0.7653085301918808,0.058527188281063194,0.05150921058680434,0.040794005045447536,0.057591536534749466,0.07894119151600128,0.012417339019569526,0.044659703030268734,0.4530845909810152,0.0686790532997358,0.08323686608920938,0.027740555953250583,0.0579765818889053,0.05180511889176256,0.06292428946060633,0.056847445310347834,0.06591098418153475,0.037154803106579426,0.303952737428757,0.03348351281563359,0.017137001841896052,0.050003083606550855,0.05540240877156954,1
0.2369751292539398,0.21001345936966773,0.07326846392830497,0.10341279204857562,0.06637746850937665,0.07692647870802646,0.1617036051011654,0.7747832277703697,0.15649759404771243,0.09046437715091896,0.049783101382032485,0.14934930414609746,0.13915221494230398,0.042935034173523415,0.06577080864809773,0.2064532756880265,0.058634408893234576,0.06771892648810016,0.028420038236516655,0.06682125482604731,0.08814082142534886,0.08122661642099566,0.15952661987919106,0.07315253828916186,0.1468216788133289,0.16867381468324305,0.05046596743864081,0.04514595099206677,0.08644702782316543,0.027762772289199007,1
0.2501441055981687,0,0.08497860142790177,0,0.17321906738736384,0.17206957031531916,0.2921419139544953,0,0,0.08852865697744627,0.17321906738736384,0.17321906738736384,0.16759962104254092,0,0.08954917769942461,0,0,0.17671974472911872,0,0.0871885875022955,0,0.2725322129739507,0,0.7048590754029714,0,0,0,0.17671974472911872,0.1804741744355364,0.08693989027334109,0
0.07007588784847872,0,0.07141824424295946,0.07162201149272211,0.4367335348312707,0.07230588873592374,0.32736496347431837,0,0.21303785126525654,0.07440180398686219,0,0.07278892247187846,0.14085511492912764,0,0.07525947635322948,0,0,0,0,0,0.14965844971766779,0.6871296475770363,0,0.22214326647296773,0.08050165241556903,0,0,0.22277985892117214,0,0,0
0.2629794953569568,0.21999375808557037,0.08527815723558904,0.14049955613485143,0.08691483865732079,0.08017105951262656,0.025594357873784977,0.09810581127739215,0.10700171426062005,0.08461021618240872,0.0972618432593828,0.06829023037360919,0.06807707557505967,0.16062643164659293,0.11768015432899703,0.7814595485515923,0.07019525050177643,0.0422244511430917,0.1382207384292344,0.0645803319968221,0.13402664412233775,0.04992330879105695,0.02131475428690359,0.04841936420771599,0.12358845479632385,0.24270544382947018,0.0488660862124074,0.0548917864860192,0.07115049823659761,0.07478259408700484,0
0.14053181390163685,0.1945913791039724,0.33657594553010167,0.2944465146819825,0.2846465633317622,0.22717279155260092,0.05744421418722248,0,0.37738743409041914,0.06714319799266939,0.1386739667513713,0.1265095837030054,0.2777662186328071,0.17876790141627041,0.0628862928101327,0.13887588779364454,0.03094670685330909,0.10424584473262542,0.021874762691489247,0.1469485398097129,0.12505355533279522,0.06124381167290939,0.05512878949403893,0.16829670151203252,0.07264794799639587,0.3766421270965319,0.08878492622741976,0.04715883452190198,0.1825038150042327,0.12943428827139258,0
0.06768172425393833,0.2135333788210878,0.2759128745684432,0.05188126809228919,0.21090620172241975,0.13967107299281903,0.17785149858321922,0.1514940271120202,0.15431951218545606,0.03592992208905488,0.1757551681020165,0.10545310086120988,0.17005344743193587,0.12732604656767754,0.0726882139124499,0.3086963601023555,0.03726071737178248,0.1255149692074501,0,0.26539534736280157,0.07227266208859727,0.07373929537420035,0.03620543690491219,0.30395104038214715,0,0.32980935233002384,0.45275117303229834,0.017930709886778584,0.09155824859355015,0.15878299928762857,0
