"job_id","job_title","location","salary_currency","salary_min","salary_max","website","highest_ed","years_exp","continent","country","skills"
"41927","senior bi analyst supply analytics bangkok based role relocation provided","Thailand","USD",48000,78000,"ai-jobs.net","bachelor",4,"Asia","Thailand","A/B testing, Business Intelligence, Computer Science, Consulting, Data analysis, Data Analytics, Data Mining, Data Studio, Data visualization, E-commerce, Economics, Engineering, ETL, Finance, Machine Learning, Mathematics, Metabase, Power BI, Privacy, Prototyping, Python, R, SQL, Statistics, Tableau, Travel, Creativity, Collaboration, Data science, Project management, Leadership, C, Problem solving, Automation, Programming, Communication, Logistic regression, Microsoft SQL Server"
"41936","bi developer","Lebanon","USD",55000,102000,"ai-jobs.net","bachelor",NA,"Asia","Lebanon","Business Intelligence, Computer Science, Data warehouse, ETL, Informatica, Qlik, Research, SQL, Talend, Testing"
"41854","senior backend engineer core data team","United States","USD",51000,94000,"ai-jobs.net",NA,5,"Americas","United States","APIs, Architecture, AWS, Engineering, Kanban, Python, Research, Snowflake, Collaboration, SQL"
"41863","data analyst manager",NA,"USD",92000,130000,"ai-jobs.net","phd",8,NA,NA,"Blockchain, Computer Science, Crypto, Engineering, Finance, Mathematics, Neo4j, NoSQL, Open Source, Power BI, Privacy, Python, QlikView, R, SAS, SQL, Statistics, Data visualization, Communication, Project management, Tableau, Database management, Programming, C++"
"41886","director data science remote","United States","USD",73000,136000,"ai-jobs.net","master",10,"Americas","United States","Computer Science, Data Analytics, Data visualization, Genetics, Mathematics, Python, R, Research, Collaboration, Data science, Communication, SQL, Travel"
"41884","nlp engineer","Pakistan","USD",35000,65000,"ai-jobs.net","bachelor",1,"Asia","Pakistan","Architecture, Classification, GANs, Keras, Kubeflow, Machine Learning, Mathematics, MLFlow, MLOps, NLP, Python, PyTorch, Research, SageMaker, Semantic Analysis, Statistics, Statistical analysis, Machine learning algorithms, Problem solving, Natural Language Processing, Collaboration, TensorFlow, Data modeling, Communication"
"41914","senior data engineer","India","USD",73000,120000,"ai-jobs.net",NA,NA,"Asia","India","Airflow, APIs, Architecture, Avro, AWS, Big Data, BigQuery, Data Analytics, Dataflow, Data quality, Docker, DynamoDB, ETL, Flask, Flink, GCP, Kafka, Kinesis, Kubernetes, LightGBM, Machine Learning, Metabase, MySQL, Python, Scala, Scikit-learn, Snowflake, Spark, SQL, Streaming, Tableau, Terraform, Data science, Data driven decision making, Data processing, Programming, API, XGBoost"
"41931","principal data architect","Germany","USD",56000,104000,"ai-jobs.net",NA,5,"Europe","Germany","Agile, Airflow, Architecture, AWS, Azure, Computer Science, Data management, Data pipelines, Dataproc, DevOps, Engineering, GCP, Kubeflow, Machine Learning, OOP, Pipelines, Python, Spark, Predictive analytics, Agile methodologies, Data engineering, XSD, Programming"
"41940","data engineer python developer","India","USD",95000,171000,"ai-jobs.net","master",NA,"Asia","India","Agile, APIs, Architecture, AWS, Bitbucket, Data analysis, Docker, Engineering, ETL, Finance, Git, Kubernetes, Lambda, Machine Learning, Mathematics, Microservices, MongoDB, OOP, Pipelines, PostgreSQL, Python, Research, STEM, Collaboration, Data communication, Automation, Programming, Data visualization, Curiosity, Communication, Problem solving, UX, Leadership"
"41921","data quality senior analyst contract","United States","USD",185000,NA,"ai-jobs.net",NA,7,"Americas","United States","Amplitude, Data quality, Excel, Finance, Communication, Collaboration, Google Sheets"
"41907","senior cloud data engineer mfd","Germany","USD",62000,115000,"ai-jobs.net",NA,NA,"Europe","Germany","Architecture, AWS, Data pipelines, Data warehouse, DevOps, Docker, ELT, Engineering, ETL, Kubernetes, Machine Learning, Microservices, Pipelines, Data engineering, Data science, Leadership, Snowflake, Communication"
"41904","business data engineer","Netherlands","USD",61000,135000,"ai-jobs.net",NA,NA,"Europe","Netherlands","Azure, Databricks, Data management, Data pipelines, DevOps, Engineering, Pipelines, Predictive Maintenance, Python, Data engineering, Data visualization, SQL"
"41910","aws data engineer","United States","USD",56000,105000,"ai-jobs.net",NA,5,"Americas","United States","Architecture, AWS, Big Data, Consulting, Data analysis, Data pipelines, Data quality, Distributed Systems, Engineering, ETL, Hadoop, Lambda, Linux, MPP, Pipelines, Predictive modeling, QuickSight, Redshift, Spark, SQL, Creativity, Statistical analysis, Data engineering, Programming, Collaboration, Data modeling, Optimization, Data processing"
"41852","lead analytics engineer","India","USD",45000,84000,"ai-jobs.net",NA,7,"Asia","India","Agile, BigQuery, Business Analytics, Data analysis, Data Analytics, Data visualization, Engineering, FinTech, Looker, Machine Learning, ML models, Pandas, Python, Redash, Redshift, Snowflake, SQL, Statistics, Leadership, Collaboration, Storytelling, Data processing, Programming, Open Source, Superset, Communication"
"41930","data architect","Poland","USD",135000,195000,"ai-jobs.net",NA,NA,"Europe","Poland","Agile, APIs, Architecture, Big Data, Dataflow, Data governance, Data management, Data pipelines, Data quality, Data strategy, Data warehouse, Engineering, GCP, Google Cloud, Kafka, Pipelines, Privacy, Security, Testing, Data engineering, Data analysis, Data security, API"
"41905","senior business data engineer","Netherlands","USD",115000,180000,"ai-jobs.net",NA,NA,"Europe","Netherlands","APIs, Azure, Big Data, Databricks, Data management, Data pipelines, DevOps, Engineering, Pipelines, Predictive Maintenance, Python, Data engineering, Data visualization, SQL"
"41929","etl developer","Serbia","USD",63000,250000,"ai-jobs.net",NA,NA,"Europe","Serbia","BigQuery, Dataflow, ETL, GCP, GitLab, Jira, Kafka, Linux, MongoDB, PostgreSQL, SQL, Talend"
