,date_created,username,verified_status,tweet_id,likes,views,replies,retweets,source,language,retweeted_id,quoted_id,text
213,2020-01-01 04:59:34+00:00,VoteMarion,True,1212236902176350208,4,,0,1,Ripl App,en,,,Your Marion County Elections Team wishes you a bright and happy year!✨ Start the new year off right by making sure you're registered to vote and your registration is current. Visit https://t.co/hXQIlic0Y7. https://t.co/3dJvTDz4d1
214,2020-01-01 07:12:51+00:00,DenverElections,True,1212270443500953600,7,,1,2,Twitter for iPhone,en,,,Happy New Year from @DenverElections! 2020 is going to be a busy year and we look forward to providing the usual great voter experience! @MileHighClerk #DenverVotes2020 #COPolitics https://t.co/72Q61toxG3
215,2020-01-01 18:30:08+00:00,MDCElections,True,1212440888674267138,7,,0,2,Salesforce - Social Studio,en,,,Happy New Year from @MDCElections. Start off 2020 by registering to vote or updating your voter information today! https://t.co/no8R5WivnE #BeInformed #HappyNewYear https://t.co/xXB3mezMrD
216,2020-01-01 14:00:39+00:00,MDCElections,True,1212373070293458945,5,,0,2,Salesforce - Social Studio,en,,,Happy New Year to all of our wonderful #PollWorkers! We look forward to having you serve in the 2020 Miami-Dade County Elections. #BeAProudPollWorker in #OurCounty. #NewYearsResolutions https://t.co/qGAmBRlAxf
217,2020-01-01 13:00:08+00:00,MIOaklandClerk,False,1212357840284856320,0,,0,0,Twuffer,en,,,"#OnThisDay in 1863, President Lincoln issued the Emancipation Proclamation. https://t.co/LRDCf0tKqL"
218,2020-01-01 15:05:20+00:00,PhillyVotes,True,1212389348449980417,5,,0,0,Hootsuite Inc.,en,,,Happy New Year! Here’s to wishing you a great and successful 2020. https://t.co/AZA0AH6mKQ
219,2020-01-01 14:00:45+00:00,HarrisVotes,True,1212373096050634753,2,,0,0,Hootsuite Inc.,en,,,"We are closed today for the holiday, but we will re-open tomorrow. https://t.co/tDxswKLIPg"
220,2020-01-01 06:00:31+00:00,HarrisVotes,True,1212252242222469120,5,,0,0,Hootsuite Inc.,en,,,Wishing you all a Happy and Prosperous New Year!🎇 https://t.co/eF7hGSn8oG
221,2020-01-01 22:18:20+00:00,RepLoriTrahan,True,1212498317843861504,4,,1,4,Twitter for iPhone,en,,,"2019 was a year of many firsts for us. Working for #MA3 has been the greatest honor of my life, and I cannot wait to see what 2020 has in store. Take a look back at some of our most memorable moments from the past year 👉 https://t.co/yajwGBSsrl https://t.co/2xpAdQyBnd"
222,2020-01-01 22:12:57+00:00,RepLoriTrahan,True,1212496960751652864,1,,0,1,Twitter Web App,en,,,"High School students across our district &amp; nation are demanding a seat at the table because they want their concerns addressed. As @RepPressley said, “We are not here to take up space (in Congress); we’re here to create space.” We’re creating space for leaders of tomorrow!"
223,2020-01-01 22:12:56+00:00,RepLoriTrahan,True,1212496958297968640,4,,2,1,Twitter Web App,en,,,"Young people are our country’s most powerful asset. This month, @RepPressley and I joined our young people in #Lawrence to talk with them about the how to make their voices heard and become more civically engaged. https://t.co/vsIeFsqCHA"
224,2020-01-01 22:12:53+00:00,RepLoriTrahan,True,1212496946612592647,3,,1,1,Twitter Web App,en,,,"As we welcome the #NewYear, we have been looking back on #2019inMA3 – and thinking of our top priorities to make our communities the strongest they can be."
