"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
30353551.6396041,-14153971.4328226,74861074.7120308,-37714830.9431691,98421934.2223773
30353551.6396041,-14197318.0551403,74904421.3343485,-37781123.8812594,98488227.1604676
30353551.6396041,-14240622.5435064,74947725.8227145,-37847352.3810313,98554455.6602395
30353551.6396041,-14283885.0205481,74990988.2997562,-37913516.6300272,98620619.9092354
30353551.6396041,-14327105.608299,75034208.8875072,-37979616.8148813,98686720.0940894
30353551.6396041,-14370284.4282032,75077387.7074113,-38045653.121326,98752756.4005341
30353551.6396041,-14413421.6011188,75120524.8803269,-38111625.7341982,98818729.0134064
30353551.6396041,-14456517.2473224,75163620.5265305,-38177534.837445,98884638.1166532
30353551.6396041,-14499571.4865127,75206674.7657209,-38243380.6141298,98950483.8933379
30353551.6396041,-14542584.4378146,75249687.7170227,-38309163.2464381,99016266.5256463
30353551.6396041,-14585556.2197827,75292659.4989908,-38374882.9156838,99081986.194892
30353551.6396041,-14628486.9504053,75335590.2296135,-38440539.8023146,99147643.0815227
30353551.6396041,-14671376.7471085,75378480.0263166,-38506134.0859178,99213237.3651259
30353551.6396041,-14714225.7267593,75421329.0059675,-38571665.9452263,99278769.2244344
